latitude,longitude,id,name,docks
40.771152,-73.917007,motivate_BKN_6cd10426-b4e9-40e1-9b35-61f609190ac0,31 St & Hoyt Ave N,28
40.734232,-73.986923,motivate_BKN_66db6963-0aca-11e7-82f6-3863bb44ef7c,E 15 St & 3 Ave,62
40.717821,-73.976289,motivate_BKN_66db9e99-0aca-11e7-82f6-3863bb44ef7c,Stanton St & Mangin St,15
40.691782,-73.973729,motivate_BKN_66db4549-0aca-11e7-82f6-3863bb44ef7c,Washington Park,18
40.809619,-73.917875,motivate_BKN_3eb10c63-ea4c-4161-b07d-a29034f7367a,Brook Ave & E 141 St,14
40.78294,-73.93077,motivate_BKN_655ad2f2-6bcc-4eee-95a9-4f528c0b81cd,Wards Meadow Comfort Station,7
40.774645,-73.923706,motivate_BKN_ff9581d3-3e1a-463a-bdab-d8150c468be2,21 St & Hoyt Ave S,27
40.807466,-73.927107,motivate_BKN_9635affa-8b18-42d5-84c4-7f67ad5ef9d0,Alexander Ave & E 134 St,10
40.644367,-73.984276,motivate_BKN_7aa86431-bbc5-4d9c-8198-9630c9d32a22,Chester Ave & 12 Ave,17
40.684354,-73.989016,motivate_BKN_66de6346-0aca-11e7-82f6-3863bb44ef7c,Hoyt St & Warren St,32
40.69953,-73.88873,motivate_BKN_c2d549f8-f54c-4a0d-9ecd-6e6f79118279,Cooper Ave & 65 Pl,14
40.81449,-73.936153,motivate_BKN_a4d041fd-c5fa-4f52-800c-25d7a661a875,E 138 St & 5 Av,11
40.782454,-73.948919,motivate_BKN_66dde630-0aca-11e7-82f6-3863bb44ef7c,E 93 St & 2 Ave,57
40.846465,-73.903869,motivate_BKN_f9ed9a6b-097e-48b9-a9d1-79d084dcd2d9,Anthony Ave & E 175 St,14
40.814469,-73.924963,motivate_BKN_ebae0b66-e463-4ded-9b7a-43c0aca9b37a,Morris Ave & E 142 St,17
40.67234,-73.94763,motivate_BKN_c2bb1874-bcb7-47c5-aa7d-05423b9087e8,Sterling Pl & New York Ave,21
40.737529,-74.005589,motivate_BKN_29ced315-14b5-4edc-bef2-665316dfe3dd,W 12 St & Hudson St,38
40.64173,-73.96364,motivate_BKN_1814907423052790164,E 16 St & Cortelyou Rd,18
40.839278,-73.945446,motivate_BKN_59af018a-2ee9-489a-b445-bb6fba9c1119,W 163 St & Riverside Dr,13
40.71832,-73.90128,motivate_BKN_ff745407-c087-4c0d-a965-98baf078f292,63 St & 59 Dr,17
40.700003,-73.92834,motivate_BKN_d11b9869-8964-4b79-aafc-4b60ad1b44c4,Central Ave & Starr Street,20
40.817802,-73.905203,motivate_BKN_517409d3-a94a-4140-a6de-ff0de9221ed2,Westchester Ave & E 156 St,22
40.756265,-73.964179,motivate_BKN_0138452a-b9f4-4aee-80b0-7fae9a122ffe,E 54 St & 1 Ave,26
40.718822,-73.99596,motivate_BKN_66de85d2-0aca-11e7-82f6-3863bb44ef7c,Grand St & Elizabeth St,38
40.73564,-73.95866,motivate_BKN_66dd217d-0aca-11e7-82f6-3863bb44ef7c,Franklin St & Dupont St,24
40.75326,-73.90585,motivate_BKN_26b3a82b-3487-44c2-85f1-eddb5a8a3a9d,55 St & Northern Blvd,17
40.825716,-73.915585,motivate_BKN_38af3d1a-9916-46cf-b22e-86fc8648bf30,Park Ave & E 162 St,15
40.638196,-74.013821,motivate_BKN_0bd9bd58-42e6-4680-9d19-83943372221f,6 Ave & 60 St,22
40.772796,-73.955778,motivate_BKN_66de2274-0aca-11e7-82f6-3863bb44ef7c,E 78 St & 2 Ave,22
40.87142,-73.88839,motivate_BKN_c3062f44-c5b9-4650-a4ec-cc66cbf5b944,Grand Concourse & E 199 St,16
40.710709,-73.959724,motivate_BKN_1786698321265653818,S 4 St & Roebling St,32
40.74966,-73.9521,motivate_BKN_66dd26f9-0aca-11e7-82f6-3863bb44ef7c,9 St & 44 Rd,30
40.829114,-73.950426,motivate_BKN_4f814d78-5d8d-458b-877e-2ca449b865be,Riverside Dr & W 148 St,16
40.711471,-73.986726,motivate_BKN_f833d403-2cf5-424a-a3b3-0314a44b4a67,Clinton St & Cherry St,29
40.718502,-73.983298,motivate_BKN_66dbc37a-0aca-11e7-82f6-3863bb44ef7c,Rivington St & Ridge St,48
40.70636,-73.91945,motivate_BKN_498d7e8e-5164-4f26-9ce6-399947d73b1a,Suydam St & St. Nicholas Ave,14
40.759057,-73.918975,motivate_BKN_0f98907a-d4cc-45e0-b174-7d9dfda74106,Steinway St & Broadway,25
40.67428,-73.9503,motivate_BKN_475c44e1-31e3-4c60-b071-af2ca3f7618c,Prospect Pl & Nostrand Ave,16
40.868846,-73.931537,motivate_BKN_53ef19c6-eaa7-47f7-807e-f51b574b1be0,Dyckman St & Staff St,14
40.75475,-73.8549,motivate_BKN_1838071008881986168,37 Ave & 113 St,16
40.79338,-73.94329,motivate_BKN_1835618878584115330,3 Ave & E 109 St,17
40.856906,-73.935662,motivate_BKN_24509e46-a0de-47e8-ba40-9441da68952a,Ft. Washington Ave & W 190 St,16
40.76344,-73.982681,motivate_BKN_66dc2c78-0aca-11e7-82f6-3863bb44ef7c,Broadway & W 53 St,77
40.72606,-73.95621,motivate_BKN_66dd1d0f-0aca-11e7-82f6-3863bb44ef7c,Banker St & Meserole Ave,26
40.677274,-73.98282,motivate_BKN_66de0d91-0aca-11e7-82f6-3863bb44ef7c,Union St & 4 Ave,24
